DATE,EXMXUS
2005-11-01,10.6715
2005-12-01,10.6266
2006-01-01,10.5422
2006-02-01,10.4842
2006-03-01,10.7493
2006-04-01,11.0489
2006-05-01,11.0908
2006-06-01,11.3934
2006-07-01,10.983
2006-08-01,10.8735
2006-09-01,10.9888
2006-10-01,10.8854
2006-11-01,10.9133
2006-12-01,10.8546
2007-01-01,10.9559
2007-02-01,10.9951
2007-03-01,11.1144
2007-04-01,10.9802
2007-05-01,10.8221
2007-06-01,10.833
2007-07-01,10.8146
2007-08-01,11.0438
2007-09-01,11.0319
2007-10-01,10.8214
2007-11-01,10.8811
2007-12-01,10.8463
2008-01-01,10.9057
2008-02-01,10.7679
2008-03-01,10.7328
2008-04-01,10.5146
2008-05-01,10.4381
2008-06-01,10.3269
2008-07-01,10.2094
2008-08-01,10.1154
2008-09-01,10.6633
2008-10-01,12.6593
2008-11-01,13.1186
2008-12-01,13.4167
2009-01-01,13.8839
2009-02-01,14.6066
2009-03-01,14.6466
2009-04-01,13.4035
2009-05-01,13.1895
2009-06-01,13.3414
2009-07-01,13.3623
2009-08-01,13.0063
2009-09-01,13.4060
2009-10-01,13.2275
2009-11-01,13.1115
2009-12-01,12.8622
2010-01-01,12.8096
2010-02-01,12.9396
2010-03-01,12.5673
2010-04-01,12.2396
2010-05-01,12.7262
2010-06-01,12.7102
2010-07-01,12.8038
2010-08-01,12.7660
2010-09-01,12.7977
2010-10-01,12.4393
2010-11-01,12.3376
2010-12-01,12.3902
2011-01-01,12.1280
2011-02-01,12.0649
2011-03-01,11.9963
2011-04-01,11.7059
2011-05-01,11.6542
2011-06-01,11.8055
2011-07-01,11.6741
2011-08-01,12.2366
2011-09-01,13.0637
2011-10-01,13.4379
2011-11-01,13.6955
2011-12-01,13.7746
2012-01-01,13.3829
2012-02-01,12.7833
2012-03-01,12.7523
2012-04-01,13.0559
2012-05-01,13.6199
2012-06-01,13.9193
2012-07-01,13.3638
2012-08-01,13.1793
2012-09-01,12.9235
2012-10-01,12.8976
2012-11-01,13.0639
2012-12-01,12.8651
2013-01-01,12.6964
2013-02-01,12.7249
2013-03-01,12.5000
2013-04-01,12.2061
2013-05-01,12.2993
2013-06-01,12.9636
2013-07-01,12.7615
2013-08-01,12.9120
2013-09-01,13.0553
2013-10-01,12.9916
2013-11-01,13.0597
2013-12-01,13.0099
2014-01-01,13.2220
2014-02-01,13.2928
2014-03-01,13.1929
2014-04-01,13.0669
2014-05-01,12.9330
2014-06-01,12.9932
2014-07-01,12.9914
2014-08-01,13.1436
2014-09-01,13.2370
2014-10-01,13.4795
2014-11-01,13.6148
2014-12-01,14.5205
2015-01-01,14.6972
2015-02-01,14.9170
2015-03-01,15.2375
2015-04-01,15.1943
2015-05-01,15.2796
2015-06-01,15.4792
2015-07-01,15.9515
2015-08-01,16.5340
2015-09-01,16.8387
2015-10-01,16.5697
2015-11-01,16.6306
2015-12-01,17.0696
2016-01-01,18.0648
2016-02-01,18.4332
2016-03-01,17.6303
2016-04-01,17.4795
2016-05-01,18.1360
2016-06-01,18.6538
2016-07-01,18.6155
2016-08-01,18.4742
2016-09-01,19.2436
2016-10-01,18.8912
2016-11-01,20.0086
2016-12-01,20.4992
2017-01-01,21.3911
2017-02-01,20.3008
2017-03-01,19.2800
2017-04-01,18.7672
2017-05-01,18.7666
2017-06-01,18.1293
2017-07-01,17.8081
2017-08-01,17.7969
2017-09-01,17.8305
2017-10-01,18.8215
2017-11-01,18.9306
2017-12-01,19.1765
2018-01-01,18.9118
2018-02-01,18.6473
2018-03-01,18.5901
2018-04-01,18.3876
2018-05-01,19.5525
2018-06-01,20.2878
2018-07-01,18.9856
2018-08-01,18.8633
2018-09-01,18.9991
2018-10-01,19.1958
2018-11-01,20.2448
2018-12-01,20.0972
2019-01-01,19.1704
2019-02-01,19.1953
2019-03-01,19.2442
2019-04-01,18.9641
2019-05-01,19.0849
